eap_id,eap_padrao,etapa_seq,etapa_nome,dt_inicio,dt_fim,duracao_dias,status_etapa,responsavel
EAP-2025-00006,Contratação Direta Exceto Limite de Valor,1,Análise de Conformidade,2025-04-26,2025-05-06,10.0,Concluída,Equipe Técnica
EAP-2025-00006,Contratação Direta Exceto Limite de Valor,2,Complementação de Informações,2025-05-06,2025-05-11,5.0,Concluída,Equipe Técnica
EAP-2025-00006,Contratação Direta Exceto Limite de Valor,3,Verificação de Documentação,2025-05-11,2025-05-12,1.0,Concluída,Equipe Técnica
EAP-2025-00006,Contratação Direta Exceto Limite de Valor,4,Ratificação/Aprovação,2025-05-12,2025-05-14,2.0,Concluída,Ordenador
EAP-2025-00006,Contratação Direta Exceto Limite de Valor,5,Convocação para Assinatura,2025-05-14,2025-05-20,6.0,Concluída,Gestor do Contrato
EAP-2025-00006,Contratação Direta Exceto Limite de Valor,6,Assinatura do Contrato,2025-05-20,2025-05-23,3.0,Concluída,Ordenador
EAP-2023-00007,Contratação de Serviços,1,Análise da Demanda,2023-01-06,2023-01-25,19.0,Concluída,Equipe Técnica
EAP-2023-00007,Contratação de Serviços,2,Complementação de Informações,2023-01-25,2023-02-06,12.0,Concluída,Equipe Técnica
EAP-2023-00007,Contratação de Serviços,3,Elaboração do Edital,2023-02-06,2023-03-02,24.0,Concluída,Equipe Técnica
EAP-2023-00007,Contratação de Serviços,4,Publicação do Edital,2023-03-02,2023-03-04,2.0,Concluída,Pregoeiro
EAP-2023-00007,Contratação de Serviços,5,Prazo de Elaboração das Propostas,2023-03-04,2023-03-14,10.0,Concluída,Externo
EAP-2023-00007,Contratação de Serviços,6,Sessão de Disputa,2023-03-14,2023-03-15,1.0,Concluída,Pregoeiro
EAP-2023-00007,Contratação de Serviços,7,Habilitação,2023-03-15,2023-03-28,13.0,Concluída,Pregoeiro
EAP-2023-00007,Contratação de Serviços,8,Declaração de Vencedor,2023-03-28,2023-03-31,3.0,Concluída,Pregoeiro
EAP-2023-00007,Contratação de Serviços,9,Convocação para Assinatura,2023-03-31,2023-04-05,5.0,Concluída,Gestor do Contrato
EAP-2023-00007,Contratação de Serviços,10,Assinatura do Contrato,2023-04-05,2023-04-10,5.0,Concluída,Ordenador
EAP-2022-00008,Contratação de Serviços,1,Análise da Demanda,2022-11-12,2022-11-30,18.0,Concluída,Equipe Técnica
EAP-2022-00008,Contratação de Serviços,2,Complementação de Informações,2022-11-30,2022-12-12,12.0,Concluída,Equipe Técnica
EAP-2022-00008,Contratação de Serviços,3,Elaboração do Edital,2022-12-12,2023-01-13,32.0,Concluída,Equipe Técnica
EAP-2022-00008,Contratação de Serviços,4,Publicação do Edital,2023-01-13,2023-01-16,3.0,Concluída,Pregoeiro
EAP-2022-00008,Contratação de Serviços,5,Prazo de Elaboração das Propostas,2023-01-16,2023-01-29,13.0,Concluída,Externo
EAP-2022-00008,Contratação de Serviços,6,Sessão de Disputa,2023-01-29,2023-01-30,1.0,Concluída,Pregoeiro
EAP-2022-00008,Contratação de Serviços,7,Habilitação,2023-01-30,2023-02-13,14.0,Concluída,Pregoeiro
EAP-2022-00008,Contratação de Serviços,8,Declaração de Vencedor,2023-02-13,2023-02-16,3.0,Concluída,Pregoeiro
EAP-2022-00008,Contratação de Serviços,9,Convocação para Assinatura,2023-02-16,2023-02-24,8.0,Concluída,Gestor do Contrato
EAP-2022-00008,Contratação de Serviços,10,Assinatura do Contrato,2023-02-24,2023-03-03,7.0,Concluída,Ordenador
EAP-2023-00009,ARP Engenharia,1,Análise da Demanda,2023-12-08,2024-01-10,33.0,Concluída,Equipe Técnica
EAP-2023-00009,ARP Engenharia,2,Complementação de Informações,2024-01-10,2024-02-03,24.0,Concluída,Equipe Técnica
EAP-2023-00009,ARP Engenharia,3,Elaboração do Edital,2024-02-03,2024-04-03,60.0,Concluída,Equipe Técnica
EAP-2023-00009,ARP Engenharia,4,Publicação do Edital,2024-04-03,2024-04-09,6.0,Concluída,Pregoeiro
EAP-2023-00009,ARP Engenharia,5,Prazo de Elaboração das Propostas,2024-04-09,2024-05-08,29.0,Concluída,Externo
EAP-2023-00009,ARP Engenharia,6,Sessão de Disputa,2024-05-08,2024-05-09,1.0,Concluída,Pregoeiro
EAP-2023-00009,ARP Engenharia,7,Habilitação,2024-05-09,2024-05-22,13.0,Concluída,Pregoeiro
EAP-2023-00009,ARP Engenharia,8,Declaração de Vencedor,2024-05-22,2024-05-24,2.0,Concluída,Pregoeiro
EAP-2023-00009,ARP Engenharia,9,Convocação para Assinatura,2024-05-24,2024-06-09,16.0,Concluída,Gestor do Contrato
EAP-2023-00009,ARP Engenharia,10,Assinatura do Contrato,2024-06-09,2024-06-15,6.0,Concluída,Ordenador
EAP-2024-00010,ARP Bens,1,Análise da Demanda,2024-09-02,2024-09-15,13.0,Concluída,Equipe Técnica
EAP-2024-00010,ARP Bens,2,Complementação de Informações,2024-09-15,2024-09-22,7.0,Concluída,Equipe Técnica
EAP-2024-00010,ARP Bens,3,Elaboração do Edital,2024-09-22,2024-10-22,30.0,Concluída,Equipe Técnica
EAP-2024-00010,ARP Bens,4,Publicação do Edital,2024-10-22,2024-10-23,1.0,Concluída,Pregoeiro
EAP-2024-00010,ARP Bens,5,Prazo de Elaboração das Propostas,2024-10-23,2024-11-06,14.0,Concluída,Externo
EAP-2024-00010,ARP Bens,6,Sessão de Disputa,2024-11-06,2024-11-07,1.0,Concluída,Pregoeiro
EAP-2024-00010,ARP Bens,7,Habilitação,2024-11-07,2024-11-08,1.0,Concluída,Pregoeiro
EAP-2024-00010,ARP Bens,8,Declaração de Vencedor,2024-11-08,2024-11-11,3.0,Concluída,Pregoeiro
EAP-2024-00010,ARP Bens,9,Convocação para Assinatura,2024-11-11,2024-11-14,3.0,Concluída,Gestor do Contrato
EAP-2024-00010,ARP Bens,10,Assinatura do Contrato,2024-11-14,2024-11-16,2.0,Concluída,Ordenador
EAP-2024-00011,Contratação de Serviços,1,Análise da Demanda,2024-08-29,2024-09-05,7.0,Concluída,Equipe Técnica
EAP-2024-00011,Contratação de Serviços,2,Complementação de Informações,2024-09-05,2024-09-13,8.0,Concluída,Equipe Técnica
EAP-2024-00011,Contratação de Serviços,3,Elaboração do Edital,2024-09-13,2024-10-15,32.0,Concluída,Equipe Técnica
EAP-2024-00011,Contratação de Serviços,4,Publicação do Edital,2024-10-15,2024-10-16,1.0,Concluída,Pregoeiro
EAP-2024-00011,Contratação de Serviços,5,Prazo de Elaboração das Propostas,2024-10-16,2024-11-05,20.0,Concluída,Externo
EAP-2024-00011,Contratação de Serviços,6,Sessão de Disputa,2024-11-05,2024-11-06,1.0,Concluída,Pregoeiro
EAP-2024-00011,Contratação de Serviços,7,Habilitação,2024-11-06,2024-11-11,5.0,Concluída,Pregoeiro
EAP-2024-00011,Contratação de Serviços,8,Declaração de Vencedor,2024-11-11,2024-11-15,4.0,Concluída,Pregoeiro
EAP-2024-00011,Contratação de Serviços,9,Convocação para Assinatura,2024-11-15,2024-11-25,10.0,Concluída,Gestor do Contrato
EAP-2024-00011,Contratação de Serviços,10,Assinatura do Contrato,2024-11-25,2024-12-01,6.0,Concluída,Ordenador
EAP-2025-00012,Contratação Direta por Limite de Valor,1,Análise de Conformidade,2025-10-30,2025-11-09,10.0,Concluída,Equipe Técnica
EAP-2025-00012,Contratação Direta por Limite de Valor,2,Complementação de Informações,2025-11-09,2025-11-11,2.0,Concluída,Equipe Técnica
EAP-2025-00012,Contratação Direta por Limite de Valor,3,Verificação de Documentação,2025-11-11,2025-11-18,7.0,Concluída,Equipe Técnica
EAP-2025-00012,Contratação Direta por Limite de Valor,4,Ratificação/Aprovação,2025-11-18,2025-11-21,3.0,Concluída,Ordenador
EAP-2025-00012,Contratação Direta por Limite de Valor,5,Convocação para Assinatura,2025-11-21,2025-11-26,5.0,Concluída,Gestor do Contrato
EAP-2025-00012,Contratação Direta por Limite de Valor,6,Assinatura do Contrato,2025-11-26,2025-11-29,3.0,Concluída,Ordenador
EAP-2023-00013,ARP Bens,1,Análise da Demanda,2023-06-07,2023-06-22,15.0,Concluída,Equipe Técnica
EAP-2023-00013,ARP Bens,2,Complementação de Informações,2023-06-22,2023-06-25,3.0,Concluída,Equipe Técnica
EAP-2023-00013,ARP Bens,3,Elaboração do Edital,2023-06-25,2023-07-14,19.0,Concluída,Equipe Técnica
EAP-2023-00013,ARP Bens,4,Publicação do Edital,2023-07-14,2023-07-16,2.0,Concluída,Pregoeiro
EAP-2023-00013,ARP Bens,5,Prazo de Elaboração das Propostas,2023-07-16,2023-08-02,17.0,Concluída,Externo
EAP-2023-00013,ARP Bens,6,Sessão de Disputa,2023-08-02,,,Em Andamento,Pregoeiro
EAP-2023-00013,ARP Bens,7,Habilitação,,,,Pendente,Pregoeiro
EAP-2023-00013,ARP Bens,8,Declaração de Vencedor,,,,Pendente,Pregoeiro
EAP-2023-00013,ARP Bens,9,Convocação para Assinatura,,,,Pendente,Gestor do Contrato
EAP-2023-00013,ARP Bens,10,Assinatura do Contrato,,,,Pendente,Ordenador
EAP-2024-00014,Contratação Direta Exceto Limite de Valor,1,Análise de Conformidade,2024-11-30,2024-12-20,20.0,Concluída,Equipe Técnica
EAP-2024-00014,Contratação Direta Exceto Limite de Valor,2,Complementação de Informações,2024-12-20,2024-12-27,7.0,Concluída,Equipe Técnica
EAP-2024-00014,Contratação Direta Exceto Limite de Valor,3,Verificação de Documentação,2024-12-27,2024-12-30,3.0,Concluída,Equipe Técnica
EAP-2024-00014,Contratação Direta Exceto Limite de Valor,4,Ratificação/Aprovação,2024-12-30,2025-01-02,3.0,Concluída,Ordenador
EAP-2024-00014,Contratação Direta Exceto Limite de Valor,5,Convocação para Assinatura,2025-01-02,2025-01-03,1.0,Concluída,Gestor do Contrato
EAP-2024-00014,Contratação Direta Exceto Limite de Valor,6,Assinatura do Contrato,2025-01-03,2025-01-07,4.0,Concluída,Ordenador
EAP-2022-00015,Contratação Direta Exceto Limite de Valor,1,Análise de Conformidade,2022-07-20,2022-07-29,9.0,Concluída,Equipe Técnica
EAP-2022-00015,Contratação Direta Exceto Limite de Valor,2,Complementação de Informações,2022-07-29,2022-08-08,10.0,Concluída,Equipe Técnica
EAP-2022-00015,Contratação Direta Exceto Limite de Valor,3,Verificação de Documentação,2022-08-08,2022-08-13,5.0,Concluída,Equipe Técnica
EAP-2022-00015,Contratação Direta Exceto Limite de Valor,4,Ratificação/Aprovação,2022-08-13,2022-08-17,4.0,Concluída,Ordenador
EAP-2022-00015,Contratação Direta Exceto Limite de Valor,5,Convocação para Assinatura,2022-08-17,2022-08-21,4.0,Concluída,Gestor do Contrato
EAP-2022-00015,Contratação Direta Exceto Limite de Valor,6,Assinatura do Contrato,2022-08-21,2022-08-22,1.0,Concluída,Ordenador
EAP-2022-00016,ARP Bens,1,Análise da Demanda,2022-07-08,2022-07-13,5.0,Concluída,Equipe Técnica
EAP-2022-00016,ARP Bens,2,Complementação de Informações,2022-07-13,2022-07-26,13.0,Concluída,Equipe Técnica
EAP-2022-00016,ARP Bens,3,Elaboração do Edital,2022-07-26,2022-08-10,15.0,Concluída,Equipe Técnica
EAP-2022-00016,ARP Bens,4,Publicação do Edital,2022-08-10,2022-08-13,3.0,Concluída,Pregoeiro
EAP-2022-00016,ARP Bens,5,Prazo de Elaboração das Propostas,2022-08-13,2022-09-04,22.0,Concluída,Externo
EAP-2022-00016,ARP Bens,6,Sessão de Disputa,2022-09-04,2022-09-05,1.0,Concluída,Pregoeiro
EAP-2022-00016,ARP Bens,7,Habilitação,2022-09-05,2022-09-14,9.0,Concluída,Pregoeiro
EAP-2022-00016,ARP Bens,8,Declaração de Vencedor,2022-09-14,2022-09-17,3.0,Concluída,Pregoeiro
EAP-2022-00016,ARP Bens,9,Convocação para Assinatura,2022-09-17,2022-09-25,8.0,Concluída,Gestor do Contrato
EAP-2022-00016,ARP Bens,10,Assinatura do Contrato,2022-09-25,2022-09-30,5.0,Concluída,Ordenador
EAP-2022-00017,ARP Bens,1,Análise da Demanda,2022-09-03,2022-09-10,7.0,Concluída,Equipe Técnica
EAP-2022-00017,ARP Bens,2,Complementação de Informações,2022-09-10,2022-09-13,3.0,Concluída,Equipe Técnica
EAP-2022-00017,ARP Bens,3,Elaboração do Edital,2022-09-13,2022-10-02,19.0,Concluída,Equipe Técnica
EAP-2022-00017,ARP Bens,4,Publicação do Edital,2022-10-02,2022-10-06,4.0,Concluída,Pregoeiro
EAP-2022-00017,ARP Bens,5,Prazo de Elaboração das Propostas,2022-10-06,2022-10-21,15.0,Concluída,Externo
EAP-2022-00017,ARP Bens,6,Sessão de Disputa,2022-10-21,2022-10-22,1.0,Concluída,Pregoeiro
EAP-2022-00017,ARP Bens,7,Habilitação,2022-10-22,2022-10-31,9.0,Concluída,Pregoeiro
EAP-2022-00017,ARP Bens,8,Declaração de Vencedor,2022-10-31,2022-11-03,3.0,Concluída,Pregoeiro
EAP-2022-00017,ARP Bens,9,Convocação para Assinatura,2022-11-03,2022-11-10,7.0,Concluída,Gestor do Contrato
EAP-2022-00017,ARP Bens,10,Assinatura do Contrato,2022-11-10,2022-11-15,5.0,Concluída,Ordenador
EAP-2022-00018,Inexigibilidade,1,Análise de Conformidade,2022-08-16,2022-08-27,11.0,Concluída,Equipe Técnica
EAP-2022-00018,Inexigibilidade,2,Justificativa de Inexigibilidade,,,,Pendente,Equipe Técnica
EAP-2022-00018,Inexigibilidade,3,Ratificação,,,,Pendente,Ordenador
EAP-2022-00018,Inexigibilidade,4,Convocação para Assinatura,,,,Pendente,Gestor do Contrato
EAP-2022-00018,Inexigibilidade,5,Assinatura do Contrato,,,,Pendente,Ordenador
EAP-2025-00019,Contratação de Serviços,1,Análise da Demanda,2025-08-01,2025-08-15,14.0,Concluída,Equipe Técnica
EAP-2025-00019,Contratação de Serviços,2,Complementação de Informações,2025-08-15,2025-08-22,7.0,Concluída,Equipe Técnica
EAP-2025-00019,Contratação de Serviços,3,Elaboração do Edital,2025-08-22,2025-09-14,23.0,Concluída,Equipe Técnica
EAP-2025-00019,Contratação de Serviços,4,Publicação do Edital,2025-09-14,2025-09-15,1.0,Concluída,Pregoeiro
EAP-2025-00019,Contratação de Serviços,5,Prazo de Elaboração das Propostas,2025-09-15,2025-10-02,17.0,Concluída,Externo
EAP-2025-00019,Contratação de Serviços,6,Sessão de Disputa,2025-10-02,2025-10-03,1.0,Concluída,Pregoeiro
EAP-2025-00019,Contratação de Serviços,7,Habilitação,2025-10-03,2025-10-19,16.0,Concluída,Pregoeiro
EAP-2025-00019,Contratação de Serviços,8,Declaração de Vencedor,2025-10-19,2025-10-22,3.0,Concluída,Pregoeiro
EAP-2025-00019,Contratação de Serviços,9,Convocação para Assinatura,2025-10-22,2025-10-29,7.0,Concluída,Gestor do Contrato
EAP-2025-00019,Contratação de Serviços,10,Assinatura do Contrato,2025-10-29,2025-11-03,5.0,Concluída,Ordenador
EAP-2022-00020,ARP Bens,1,Análise da Demanda,2022-06-01,2022-06-11,10.0,Concluída,Equipe Técnica
EAP-2022-00020,ARP Bens,2,Complementação de Informações,2022-06-11,2022-06-16,5.0,Concluída,Equipe Técnica
EAP-2022-00020,ARP Bens,3,Elaboração do Edital,2022-06-16,2022-06-21,5.0,Concluída,Equipe Técnica
EAP-2022-00020,ARP Bens,4,Publicação do Edital,2022-06-21,2022-06-24,3.0,Concluída,Pregoeiro
EAP-2022-00020,ARP Bens,5,Prazo de Elaboração das Propostas,2022-06-24,2022-07-07,13.0,Concluída,Externo
EAP-2022-00020,ARP Bens,6,Sessão de Disputa,2022-07-07,2022-07-08,1.0,Concluída,Pregoeiro
EAP-2022-00020,ARP Bens,7,Habilitação,2022-07-08,2022-07-20,12.0,Concluída,Pregoeiro
EAP-2022-00020,ARP Bens,8,Declaração de Vencedor,2022-07-20,2022-07-23,3.0,Concluída,Pregoeiro
EAP-2022-00020,ARP Bens,9,Convocação para Assinatura,2022-07-23,2022-07-26,3.0,Concluída,Gestor do Contrato
EAP-2022-00020,ARP Bens,10,Assinatura do Contrato,2022-07-26,2022-07-28,2.0,Concluída,Ordenador
EAP-2022-00021,ARP Bens,1,Análise da Demanda,2022-05-23,2022-06-04,12.0,Concluída,Equipe Técnica
EAP-2022-00021,ARP Bens,2,Complementação de Informações,2022-06-04,2022-06-14,10.0,Concluída,Equipe Técnica
EAP-2022-00021,ARP Bens,3,Elaboração do Edital,2022-06-14,2022-07-09,25.0,Concluída,Equipe Técnica
EAP-2022-00021,ARP Bens,4,Publicação do Edital,2022-07-09,2022-07-11,2.0,Concluída,Pregoeiro
EAP-2022-00021,ARP Bens,5,Prazo de Elaboração das Propostas,2022-07-11,2022-07-14,3.0,Concluída,Externo
EAP-2022-00021,ARP Bens,6,Sessão de Disputa,2022-07-14,2022-07-15,1.0,Concluída,Pregoeiro
EAP-2022-00021,ARP Bens,7,Habilitação,2022-07-15,2022-07-17,2.0,Concluída,Pregoeiro
EAP-2022-00021,ARP Bens,8,Declaração de Vencedor,2022-07-17,2022-07-20,3.0,Concluída,Pregoeiro
EAP-2022-00021,ARP Bens,9,Convocação para Assinatura,2022-07-20,2022-07-26,6.0,Concluída,Gestor do Contrato
EAP-2022-00021,ARP Bens,10,Assinatura do Contrato,2022-07-26,2022-07-30,4.0,Concluída,Ordenador
EAP-2025-00022,Contratação de Serviços,1,Análise da Demanda,2025-08-14,2025-08-31,17.0,Concluída,Equipe Técnica
EAP-2025-00022,Contratação de Serviços,2,Complementação de Informações,2025-08-31,2025-09-08,8.0,Concluída,Equipe Técnica
EAP-2025-00022,Contratação de Serviços,3,Elaboração do Edital,2025-09-08,2025-10-18,40.0,Concluída,Equipe Técnica
EAP-2025-00022,Contratação de Serviços,4,Publicação do Edital,2025-10-18,2025-10-20,2.0,Concluída,Pregoeiro
EAP-2025-00022,Contratação de Serviços,5,Prazo de Elaboração das Propostas,2025-10-20,2025-10-26,6.0,Concluída,Externo
EAP-2025-00022,Contratação de Serviços,6,Sessão de Disputa,2025-10-26,2025-10-27,1.0,Concluída,Pregoeiro
EAP-2025-00022,Contratação de Serviços,7,Habilitação,2025-10-27,2025-11-08,12.0,Concluída,Pregoeiro
EAP-2025-00022,Contratação de Serviços,8,Declaração de Vencedor,2025-11-08,2025-11-11,3.0,Concluída,Pregoeiro
EAP-2025-00022,Contratação de Serviços,9,Convocação para Assinatura,2025-11-11,2025-11-20,9.0,Concluída,Gestor do Contrato
EAP-2025-00022,Contratação de Serviços,10,Assinatura do Contrato,2025-11-20,2025-11-22,2.0,Concluída,Ordenador
EAP-2025-00023,ARP Bens,1,Análise da Demanda,2025-06-11,2025-06-19,8.0,Concluída,Equipe Técnica
EAP-2025-00023,ARP Bens,2,Complementação de Informações,2025-06-19,2025-07-02,13.0,Concluída,Equipe Técnica
EAP-2025-00023,ARP Bens,3,Elaboração do Edital,2025-07-02,2025-07-20,18.0,Concluída,Equipe Técnica
EAP-2025-00023,ARP Bens,4,Publicação do Edital,2025-07-20,2025-07-22,2.0,Concluída,Pregoeiro
EAP-2025-00023,ARP Bens,5,Prazo de Elaboração das Propostas,2025-07-22,2025-08-08,17.0,Concluída,Externo
EAP-2025-00023,ARP Bens,6,Sessão de Disputa,2025-08-08,2025-08-09,1.0,Concluída,Pregoeiro
EAP-2025-00023,ARP Bens,7,Habilitação,2025-08-09,2025-08-15,6.0,Concluída,Pregoeiro
EAP-2025-00023,ARP Bens,8,Declaração de Vencedor,2025-08-15,,,Em Andamento,Pregoeiro
EAP-2025-00023,ARP Bens,9,Convocação para Assinatura,,,,Pendente,Gestor do Contrato
EAP-2025-00023,ARP Bens,10,Assinatura do Contrato,,,,Pendente,Ordenador
EAP-2023-00024,Contratação Direta por Limite de Valor,1,Análise de Conformidade,2023-05-29,2023-06-12,14.0,Concluída,Equipe Técnica
EAP-2023-00024,Contratação Direta por Limite de Valor,2,Complementação de Informações,2023-06-12,2023-06-19,7.0,Concluída,Equipe Técnica
EAP-2023-00024,Contratação Direta por Limite de Valor,3,Verificação de Documentação,2023-06-19,2023-06-26,7.0,Concluída,Equipe Técnica
EAP-2023-00024,Contratação Direta por Limite de Valor,4,Ratificação/Aprovação,2023-06-26,2023-06-29,3.0,Concluída,Ordenador
EAP-2023-00024,Contratação Direta por Limite de Valor,5,Convocação para Assinatura,2023-06-29,2023-07-08,9.0,Concluída,Gestor do Contrato
EAP-2023-00024,Contratação Direta por Limite de Valor,6,Assinatura do Contrato,2023-07-08,2023-07-11,3.0,Concluída,Ordenador
EAP-2023-00025,ARP Bens,1,Análise da Demanda,2023-11-07,2023-11-20,13.0,Concluída,Equipe Técnica
EAP-2023-00025,ARP Bens,2,Complementação de Informações,2023-11-20,2023-11-28,8.0,Concluída,Equipe Técnica
EAP-2023-00025,ARP Bens,3,Elaboração do Edital,2023-11-28,2023-12-16,18.0,Concluída,Equipe Técnica
EAP-2023-00025,ARP Bens,4,Publicação do Edital,2023-12-16,2023-12-17,1.0,Concluída,Pregoeiro
EAP-2023-00025,ARP Bens,5,Prazo de Elaboração das Propostas,2023-12-17,2023-12-20,3.0,Concluída,Externo
EAP-2023-00025,ARP Bens,6,Sessão de Disputa,2023-12-20,2023-12-21,1.0,Concluída,Pregoeiro
EAP-2023-00025,ARP Bens,7,Habilitação,2023-12-21,2023-12-28,7.0,Concluída,Pregoeiro
EAP-2023-00025,ARP Bens,8,Declaração de Vencedor,2023-12-28,2023-12-30,2.0,Concluída,Pregoeiro
EAP-2023-00025,ARP Bens,9,Convocação para Assinatura,2023-12-30,2024-01-12,13.0,Concluída,Gestor do Contrato
EAP-2023-00025,ARP Bens,10,Assinatura do Contrato,2024-01-12,2024-01-19,7.0,Concluída,Ordenador
EAP-2022-00026,ARP Bens,1,Análise da Demanda,2022-05-24,2022-06-04,11.0,Concluída,Equipe Técnica
