fornecedor_id,razao_social,cnpj,uf,porte,especialidade_principal,especialidades,nota_desempenho,num_contratos_ativos,situacao_sicaf,dt_cadastro
FORN-0080,Brasil Digital Ltda,97.117.980/8932-46,SP,EPP,Marketing e Comunicação,Marketing e Comunicação,7.5,1,Vencido,2021-12-16
FORN-0081,Brasil Gestão S.A.,18.888.806/7065-40,PA,Médio,TI - Licenciamento,TI - Licenciamento|Consultoria - Gestão,10.0,5,Regular,2018-10-04
FORN-0082,Smart Segurança Ltda,05.852.772/2170-43,RJ,ME,Segurança Patrimonial,Segurança Patrimonial|Engenharia - Manutenção,7.8,5,Regular,2020-03-28
FORN-0083,Central Serviços Eireli,87.403.450/5415-66,TO,EPP,Material de Escritório,Material de Escritório|Consultoria - Jurídica|Marketing e Comunicação,9.4,3,Regular,2022-12-07
FORN-0084,Central Infraestrutura Eireli,84.161.692/8451-15,MS,EPP,Seguros,Seguros|Material de Escritório|Facilities - Limpeza,7.4,1,Irregular,2021-04-25
FORN-0085,Global Administração EPP,57.059.640/1658-20,PR,Médio,Facilities - Limpeza,Facilities - Limpeza|Treinamento e Capacitação,6.1,1,Vencido,2022-11-30
FORN-0086,Beta Consultoria Ltda,56.909.275/5719-28,PA,Médio,Consultoria - Gestão,Consultoria - Gestão,8.5,2,Regular,2022-06-19
FORN-0087,Master Sistemas S.A.,86.814.473/9473-12,MG,EPP,TI - Infraestrutura,TI - Infraestrutura|Facilities - Limpeza|Facilities - Recepção,9.8,4,Regular,2023-01-26
FORN-0088,Prime Administração Ltda,18.844.225/8313-23,AP,EPP,Segurança Patrimonial,Segurança Patrimonial|Consultoria - Gestão,7.6,4,Regular,2023-07-17
FORN-0089,Alpha Telecomunicações EPP,91.146.786/6912-51,ES,Médio,Treinamento e Capacitação,Treinamento e Capacitação|Engenharia - Manutenção,8.2,4,Regular,2023-03-24
FORN-0090,Omega Transporte EPP,68.018.242/2535-84,MG,EPP,Engenharia - Manutenção,Engenharia - Manutenção,4.4,3,Regular,2020-10-23
FORN-0091,Tech Transporte Eireli,98.182.992/2995-90,RR,ME,Logística - Armazenagem,Logística - Armazenagem,6.7,1,Vencido,2018-04-27
FORN-0092,Delta Serviços EPP,96.907.844/7364-71,RO,ME,Facilities - Vigilância,Facilities - Vigilância,9.1,2,Vencido,2018-09-03
FORN-0093,Prime Administração ME,59.255.562/5881-53,ES,EPP,Facilities - Vigilância,Facilities - Vigilância,6.6,3,Irregular,2019-05-17
FORN-0094,Nacional Administração S.A.,46.963.259/5327-87,PB,ME,TI - Desenvolvimento,TI - Desenvolvimento,7.1,2,Regular,2021-06-17
FORN-0095,Pro Soluções Ltda,39.500.479/7480-16,PR,ME,Material de Escritório,Material de Escritório|Treinamento e Capacitação|Engenharia - Obras,7.1,4,Regular,2020-12-19
FORN-0096,Sol Telecomunicações ME,09.835.841/6878-49,MS,Médio,Consultoria - Jurídica,Consultoria - Jurídica,4.0,3,Regular,2019-05-02
FORN-0097,Omega Engenharia ME,85.239.868/0002-57,RN,EPP,Segurança Patrimonial,Segurança Patrimonial,6.2,4,Vencido,2023-02-15
FORN-0098,Omega Limpeza S.A.,26.949.588/8794-70,PA,ME,Segurança Patrimonial,Segurança Patrimonial,7.2,5,Vencido,2021-09-18
FORN-0099,Fast Engenharia ME,49.930.972/8962-30,PI,Médio,TI - Infraestrutura,TI - Infraestrutura|Seguros,6.8,1,Vencido,2019-03-27
FORN-0100,Tech Soluções ME,63.689.702/8385-78,MA,Grande,Engenharia - Manutenção,Engenharia - Manutenção,9.9,3,Regular,2021-07-09
FORN-0101,Prime Administração EPP,49.733.484/3443-75,PB,ME,Consultoria - Gestão,Consultoria - Gestão,6.5,2,Regular,2021-11-29
FORN-0102,Top Sistemas Eireli,65.240.415/7473-38,CE,ME,Consultoria - Jurídica,Consultoria - Jurídica,6.8,3,Regular,2021-01-17
FORN-0103,Omega Engenharia EPP,08.330.165/7120-82,AM,Médio,Facilities - Recepção,Facilities - Recepção|Material de Escritório,7.5,6,Regular,2023-05-03
FORN-0104,Pro Facilities Eireli,19.380.262/0672-40,SP,EPP,TI - Desenvolvimento,TI - Desenvolvimento,8.2,3,Regular,2021-05-07
FORN-0105,Elite Engenharia Eireli,72.874.315/2742-05,AP,Médio,Material de Escritório,Material de Escritório,7.5,4,Irregular,2021-04-23
FORN-0106,Elite Facilities S.A.,85.161.227/5304-63,ES,ME,Consultoria - Jurídica,Consultoria - Jurídica|Marketing e Comunicação,6.2,4,Regular,2020-12-29
FORN-0107,Master Digital EPP,53.017.426/8414-59,PE,ME,TI - Infraestrutura,TI - Infraestrutura|Logística - Transporte,10.0,4,Irregular,2020-06-16
FORN-0108,Omega Manutenção S.A.,68.783.391/8785-19,RS,Médio,Consultoria - Gestão,Consultoria - Gestão,6.6,2,Vencido,2018-09-10
FORN-0109,Leste Transporte EPP,25.871.397/1870-72,RN,ME,Engenharia - Manutenção,Engenharia - Manutenção,8.4,4,Vencido,2022-08-29
FORN-0110,Super Serviços EPP,06.403.910/6518-01,PB,EPP,Logística - Armazenagem,Logística - Armazenagem,8.2,4,Vencido,2018-05-10
FORN-0111,Global Gestão S.A.,67.661.825/1286-82,TO,Grande,Marketing e Comunicação,Marketing e Comunicação|Consultoria - Gestão,8.6,3,Regular,2020-07-01
FORN-0112,Leste Soluções Ltda,63.375.243/1069-03,DF,EPP,Treinamento e Capacitação,Treinamento e Capacitação|Marketing e Comunicação|Logística - Transporte,10.0,4,Regular,2018-10-03
FORN-0113,Sigma Serviços ME,06.738.302/8439-59,SE,ME,TI - Desenvolvimento,TI - Desenvolvimento|Facilities - Recepção,8.3,4,Irregular,2021-08-06
FORN-0114,Fast Limpeza S.A.,08.926.870/5685-66,PR,Médio,Logística - Transporte,Logística - Transporte,9.4,1,Regular,2021-05-13
FORN-0115,Mega Logística EPP,42.708.668/8263-43,GO,Médio,Facilities - Recepção,Facilities - Recepção,7.0,3,Irregular,2018-11-20
FORN-0116,Inter Administração Eireli,04.699.013/9837-35,SC,EPP,Facilities - Vigilância,Facilities - Vigilância,8.7,3,Regular,2018-03-04
FORN-0117,Tech Facilities Ltda,93.638.546/7854-45,RN,Médio,Seguros,Seguros|Facilities - Recepção,5.1,3,Regular,2023-07-30
FORN-0118,Super Engenharia ME,55.609.320/4899-64,PR,Grande,Segurança Patrimonial,Segurança Patrimonial|Facilities - Vigilância,7.9,2,Regular,2020-03-14
FORN-0119,Master Segurança ME,85.477.725/2287-28,MT,EPP,Facilities - Recepção,Facilities - Recepção|Seguros,8.5,3,Regular,2018-08-29
FORN-0120,Max Serviços Ltda,23.120.387/5099-77,SP,Médio,TI - Desenvolvimento,TI - Desenvolvimento|TI - Infraestrutura|Facilities - Vigilância,9.8,1,Regular,2018-01-28
FORN-0121,Top Transporte ME,48.408.621/1823-39,RN,Médio,Material de Escritório,Material de Escritório,6.0,5,Irregular,2020-10-30
FORN-0122,Leste Telecomunicações Eireli,67.933.410/1666-87,RJ,EPP,TI - Licenciamento,TI - Licenciamento|Consultoria - Gestão,7.3,4,Regular,2018-02-08
FORN-0123,Net Logística Ltda,59.180.339/7401-48,PI,EPP,Marketing e Comunicação,Marketing e Comunicação,7.2,3,Regular,2018-05-15
FORN-0124,Prime Construções Ltda,14.293.968/5621-85,RJ,Grande,Engenharia - Manutenção,Engenharia - Manutenção|Consultoria - Jurídica|Treinamento e Capacitação,8.4,2,Irregular,2019-02-05
FORN-0125,Ultra Segurança Ltda,50.477.358/6629-61,AC,Grande,Consultoria - Jurídica,Consultoria - Jurídica,9.1,1,Irregular,2021-04-24
FORN-0126,Sul Segurança Ltda,62.655.110/4754-12,MG,EPP,Engenharia - Manutenção,Engenharia - Manutenção,4.7,5,Regular,2020-02-07
FORN-0127,Ultra Administração EPP,01.581.995/6046-61,TO,EPP,Marketing e Comunicação,Marketing e Comunicação|Engenharia - Obras,5.5,4,Regular,2020-09-21
FORN-0128,Fast Infraestrutura S.A.,47.212.646/4715-43,TO,ME,Logística - Armazenagem,Logística - Armazenagem,4.6,4,Vencido,2023-07-24
FORN-0129,Premium Facilities ME,06.596.575/6924-59,RO,Médio,Logística - Armazenagem,Logística - Armazenagem,7.1,2,Regular,2020-04-02
FORN-0130,Pro Construções S.A.,79.356.465/1939-82,MS,Médio,Segurança Patrimonial,Segurança Patrimonial|Logística - Armazenagem|Consultoria - Gestão,6.4,1,Regular,2018-04-21
FORN-0131,Sol Administração S.A.,16.724.342/6617-97,PI,Grande,Logística - Armazenagem,Logística - Armazenagem,7.1,2,Irregular,2022-06-30
FORN-0132,Top Limpeza ME,13.529.096/5610-14,PE,Médio,Consultoria - Gestão,Consultoria - Gestão|TI - Licenciamento,9.0,7,Vencido,2023-09-23
FORN-0133,Sol Limpeza EPP,56.798.250/7146-11,RR,Grande,Facilities - Recepção,Facilities - Recepção|Treinamento e Capacitação,10.0,3,Regular,2019-08-04
FORN-0134,Smart Digital Eireli,87.571.775/1401-05,MT,ME,Facilities - Vigilância,Facilities - Vigilância,6.0,0,Irregular,2019-03-24
FORN-0135,Fast Logística S.A.,86.736.226/6093-79,AM,Grande,Facilities - Limpeza,Facilities - Limpeza|Segurança Patrimonial,9.6,5,Regular,2022-05-12
FORN-0136,Alpha Facilities S.A.,91.825.537/1478-59,MA,Médio,TI - Licenciamento,TI - Licenciamento,8.9,3,Regular,2022-05-27
FORN-0137,Smart Administração EPP,99.125.134/1252-86,AM,Grande,Logística - Armazenagem,Logística - Armazenagem,7.0,3,Regular,2019-07-19
FORN-0138,Elite Infraestrutura ME,82.742.257/9050-72,DF,ME,Facilities - Limpeza,Facilities - Limpeza,7.9,3,Vencido,2022-04-22
FORN-0139,Ultra Manutenção ME,21.903.404/3842-79,TO,Médio,Treinamento e Capacitação,Treinamento e Capacitação|Seguros,5.9,7,Irregular,2023-07-22
FORN-0140,Top Limpeza Ltda,80.783.613/4074-51,ES,Médio,Logística - Transporte,Logística - Transporte|Consultoria - Gestão,7.2,2,Irregular,2019-04-26
FORN-0141,Norte Segurança S.A.,29.233.095/8498-25,RO,EPP,Consultoria - Gestão,Consultoria - Gestão|Marketing e Comunicação,8.9,3,Regular,2021-04-13
FORN-0142,Global Sistemas EPP,60.422.325/3672-94,MT,EPP,Engenharia - Obras,Engenharia - Obras|Engenharia - Manutenção|Consultoria - Jurídica,6.1,2,Regular,2022-08-24
FORN-0143,Mega Administração Ltda,84.577.590/1751-86,DF,Grande,TI - Licenciamento,TI - Licenciamento|Consultoria - Jurídica,7.2,6,Regular,2022-10-26
FORN-0144,Leste Facilities ME,58.929.750/0170-12,ES,EPP,Logística - Armazenagem,Logística - Armazenagem,9.3,5,Regular,2023-02-13
FORN-0145,Alpha Gestão S.A.,41.541.520/6436-11,SP,Médio,Engenharia - Manutenção,Engenharia - Manutenção|Logística - Armazenagem|TI - Licenciamento,7.4,4,Regular,2020-05-24
FORN-0146,Pro Tecnologia S.A.,00.516.271/3611-15,PA,Grande,Material de Escritório,Material de Escritório|Treinamento e Capacitação,10.0,0,Regular,2021-05-10
FORN-0147,Omega Infraestrutura S.A.,89.092.753/2697-31,RS,EPP,Engenharia - Manutenção,Engenharia - Manutenção|TI - Licenciamento,5.5,7,Regular,2019-07-28
FORN-0148,Norte Engenharia EPP,52.341.389/9940-43,RN,Médio,Consultoria - Gestão,Consultoria - Gestão|Marketing e Comunicação,7.2,1,Regular,2023-09-19
FORN-0149,Tech Infraestrutura Eireli,61.379.180/5526-96,PA,ME,Facilities - Recepção,Facilities - Recepção|Seguros,8.1,3,Irregular,2019-12-09
FORN-0150,Norte Manutenção Ltda,04.300.684/8666-18,AL,Médio,TI - Licenciamento,TI - Licenciamento,7.8,1,Regular,2019-09-18
FORN-0151,Nacional Tecnologia Eireli,28.569.146/3031-61,ES,Grande,Facilities - Vigilância,Facilities - Vigilância,9.2,3,Regular,2018-08-14
FORN-0152,Global Logística Ltda,02.758.842/5241-05,AP,Médio,Engenharia - Manutenção,Engenharia - Manutenção,7.4,4,Regular,2022-10-25
FORN-0153,Nacional Limpeza Ltda,77.850.792/5241-91,PE,EPP,TI - Licenciamento,TI - Licenciamento,9.3,4,Regular,2023-09-16
FORN-0154,Alpha Serviços Ltda,56.220.863/5365-41,PI,ME,Seguros,Seguros,8.8,7,Irregular,2022-03-08
FORN-0155,Sigma Limpeza Ltda,06.174.451/8705-34,PI,EPP,Material de Escritório,Material de Escritório,5.1,1,Regular,2021-05-29
FORN-0156,Sol Segurança ME,38.320.603/8505-06,TO,Médio,Seguros,Seguros,8.4,1,Vencido,2021-06-13
FORN-0157,Sigma Facilities EPP,24.103.865/7191-82,MT,EPP,Marketing e Comunicação,Marketing e Comunicação|Seguros|TI - Infraestrutura,8.2,3,Regular,2022-06-04
FORN-0158,Delta Serviços ME,44.565.574/3132-91,PR,EPP,Engenharia - Manutenção,Engenharia - Manutenção|Facilities - Recepção,8.6,3,Regular,2019-03-09
FORN-0159,Master Gestão Ltda,47.411.249/0352-13,PA,EPP,Facilities - Vigilância,Facilities - Vigilância|Treinamento e Capacitação,10.0,2,Regular,2022-06-12
FORN-0160,Max Serviços Eireli,06.788.317/1210-03,PR,Grande,Facilities - Limpeza,Facilities - Limpeza,6.5,2,Regular,2020-03-22
FORN-0161,Leste Infraestrutura Eireli,10.137.215/1070-29,AM,ME,TI - Licenciamento,TI - Licenciamento|Logística - Transporte,6.6,2,Regular,2022-06-06
FORN-0162,Pro Soluções ME,32.447.209/9934-76,AL,EPP,Facilities - Limpeza,Facilities - Limpeza|Consultoria - Gestão,6.7,3,Regular,2023-05-17
FORN-0163,Beta Tecnologia Eireli,38.380.657/8759-85,MA,Médio,Marketing e Comunicação,Marketing e Comunicação,8.0,2,Regular,2021-01-12
FORN-0164,Prime Soluções Eireli,07.859.321/3348-03,PI,Grande,TI - Infraestrutura,TI - Infraestrutura|Logística - Transporte,6.9,3,Irregular,2022-05-10
FORN-0165,Smart Logística S.A.,59.059.929/3784-27,RJ,Grande,Segurança Patrimonial,Segurança Patrimonial,8.3,1,Regular,2019-01-05
FORN-0166,Beta Segurança EPP,70.593.252/5002-92,AC,EPP,Material de Escritório,Material de Escritório,9.1,3,Regular,2019-03-31
FORN-0167,Oeste Limpeza Eireli,15.452.267/5289-53,MS,ME,Consultoria - Gestão,Consultoria - Gestão|Consultoria - Jurídica|Logística - Armazenagem,8.9,7,Regular,2019-12-20
FORN-0168,Mega Digital Eireli,96.902.959/3917-25,TO,Grande,TI - Infraestrutura,TI - Infraestrutura,7.6,6,Regular,2018-11-15
