eap_id,eap_padrao,categoria_contratacao,modalidade,tipo_servico,objeto_resumido,unidade_demandante,valor_estimado,valor_contratado,dt_abertura,dt_assinatura,prazo_total_dias,num_etapas,fornecedor_vencedor_id,fornecedor_vencedor_nome,num_participantes,tem_intercorrencia,tipo_intercorrencia,status,urgencia,complexidade
EAP-2025-00022,Contratação de Serviços,Licitação,Licitação Eletrônica,Facilities - Vigilância,Contratação de facilities - vigilância para DIFIN,DIFIN,181088.86,157485.44,2025-08-14,2025-11-18,96.0,10,FORN-0004,Express Telecomunicações S.A.,2,False,,Concluído,Normal,Média
EAP-2025-00023,ARP Bens,Licitação,Licitação Eletrônica,TI - Infraestrutura,Contratação de ti - infraestrutura para DICOM,DICOM,4224967.71,3855331.1,2025-06-11,,,10,,,2,False,,Em Andamento,Normal,Baixa
EAP-2023-00024,Contratação Direta por Limite de Valor,Contratação Direta,Contratação Direta,Facilities - Limpeza,Contratação de facilities - limpeza para SUREF-CE,SUREF-CE,677124.28,612415.83,2023-05-29,2023-07-16,48.0,6,FORN-0029,Delta Gestão S.A.,2,True,Revisão de Justificativa,Concluído,Normal,Baixa
EAP-2023-00025,ARP Bens,Licitação,Licitação Eletrônica,Engenharia - Manutenção,Contratação de engenharia - manutenção para SUREF-PE,SUREF-PE,2078430.99,1602969.78,2023-11-07,2024-01-02,56.0,10,FORN-0192,Global Gestão Ltda,4,False,,Concluído,Normal,Média
EAP-2022-00026,ARP Bens,Licitação,Licitação Eletrônica,Marketing e Comunicação,Contratação de marketing e comunicação para SUREF-CE,SUREF-CE,6664.52,5867.38,2022-05-24,2022-08-21,89.0,10,FORN-0294,Delta Construções S.A.,6,True,Questionamento de Preço,Concluído,Emergencial,Média
EAP-2024-00027,Contratação de Serviços,Licitação,Licitação Eletrônica,Facilities - Recepção,Contratação de facilities - recepção para DIRIS,DIRIS,114023.1,,2024-03-31,,,10,,,1,True,Recurso Administrativo,Cancelado,Normal,Média
EAP-2023-00028,Contratação de Serviços,Licitação,Licitação Eletrônica,Facilities - Limpeza,Contratação de facilities - limpeza para CENOP-SP,CENOP-SP,33505.98,30154.38,2023-08-17,2023-12-02,107.0,10,FORN-0029,Delta Gestão S.A.,3,False,,Concluído,Emergencial,Média
EAP-2025-00029,Contratação Direta por Limite de Valor,Contratação Direta,Contratação Direta,Segurança Patrimonial,Contratação de segurança patrimonial para DIRIS,DIRIS,1269461.77,1263478.45,2025-11-26,2025-12-26,30.0,6,FORN-0017,Nacional Digital EPP,2,False,,Concluído,Normal,Alta
EAP-2023-00030,Contratação Direta por Limite de Valor,Contratação Direta,Contratação Direta,TI - Licenciamento,Contratação de ti - licenciamento para DIMAP,DIMAP,1324871.92,1210531.09,2023-01-24,,,6,,,1,False,,Em Andamento,Normal,Média
EAP-2024-00031,Contratação de Serviços,Licitação,Licitação Eletrônica,Engenharia - Obras,Contratação de engenharia - obras para SUREF-SP,SUREF-SP,295584.85,269549.16,2024-03-07,2024-07-16,131.0,10,FORN-0222,Prime Telecomunicações EPP,8,True,Inabilitação de Licitante,Concluído,Emergencial,Alta
EAP-2022-00032,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,Logística - Transporte,Contratação de logística - transporte para DITEC,DITEC,44094.29,,2022-03-17,,,6,,,1,False,,Cancelado,Normal,Alta
EAP-2024-00033,ARP Bens,Licitação,Licitação Eletrônica,Facilities - Limpeza,Contratação de facilities - limpeza para SUREF-DF,SUREF-DF,12433.73,9667.23,2024-12-07,2025-02-25,80.0,10,FORN-0077,Norte Infraestrutura EPP,6,False,,Concluído,Normal,Baixa
EAP-2022-00034,ARP Bens,Licitação,Licitação Eletrônica,Treinamento e Capacitação,Contratação de treinamento e capacitação para DIMAC,DIMAC,10984.32,10136.07,2022-03-17,2022-06-06,81.0,10,FORN-0026,Ultra Transporte ME,8,False,,Concluído,Normal,Alta
EAP-2023-00035,ARP Bens,Licitação,Licitação Eletrônica,Engenharia - Manutenção,Contratação de engenharia - manutenção para DILOG,DILOG,550293.39,414863.32,2023-05-13,2023-09-12,122.0,10,FORN-0126,Sul Segurança Ltda,10,True,Certame Deserto,Concluído,Urgente,Baixa
EAP-2022-00036,ARP Engenharia,Licitação,Licitação Eletrônica,Facilities - Limpeza,Contratação de facilities - limpeza para SUREF-PR,SUREF-PR,106768.53,79013.62,2022-12-16,,,10,,,11,True,Recurso Administrativo,Em Andamento,Normal,Baixa
EAP-2025-00037,Contratação Direta por Limite de Valor,Contratação Direta,Contratação Direta,TI - Desenvolvimento,Contratação de ti - desenvolvimento para DISEC,DISEC,197455.02,,2025-10-21,,,6,,,2,False,,Cancelado,Urgente,Média
EAP-2022-00038,Contratação de Serviços,Licitação,Licitação Eletrônica,Consultoria - Gestão,Contratação de consultoria - gestão para CENOP-SP,CENOP-SP,392062.4,286254.9,2022-04-04,2022-07-15,102.0,10,FORN-0076,Leste Logística ME,4,False,,Concluído,Urgente,Baixa
EAP-2025-00039,ARP Engenharia,Licitação,Licitação Eletrônica,TI - Infraestrutura,Contratação de ti - infraestrutura para DIOPE,DIOPE,62941.24,56638.3,2025-02-07,,,10,,,5,True,Certame Fracassado,Em Andamento,Urgente,Média
EAP-2024-00040,Contratação de Serviços,Licitação,Licitação Eletrônica,TI - Infraestrutura,Contratação de ti - infraestrutura para DIGER,DIGER,216955.08,185459.19,2024-09-24,2025-01-23,121.0,10,FORN-0146,Pro Tecnologia S.A.,7,True,Impugnação ao Edital,Concluído,Normal,Alta
EAP-2024-00041,ARP Engenharia,Licitação,Licitação Eletrônica,Logística - Armazenagem,Contratação de logística - armazenagem para CENOP-SP,CENOP-SP,60534.6,54780.85,2024-09-01,2024-12-11,101.0,10,FORN-0230,Inter Infraestrutura EPP,6,False,,Concluído,Normal,Média
EAP-2022-00042,Contratação de Serviços,Licitação,Licitação Eletrônica,Segurança Patrimonial,Contratação de segurança patrimonial para DIJUR,DIJUR,75629.3,60202.59,2022-12-24,2023-04-30,127.0,10,FORN-0015,Fast Limpeza Eireli,4,True,Certame Deserto,Concluído,Normal,Alta
EAP-2023-00043,Contratação Direta por Limite de Valor,Contratação Direta,Contratação Direta,TI - Infraestrutura,Contratação de ti - infraestrutura para SUREF-BA,SUREF-BA,525923.82,487878.67,2023-09-09,2023-10-17,38.0,6,FORN-0032,Ultra Telecomunicações Ltda,1,False,,Concluído,Emergencial,Alta
EAP-2024-00044,Contratação de Serviços,Licitação,Licitação Eletrônica,Seguros,Contratação de seguros para SUREF-PR,SUREF-PR,125908.81,122293.45,2024-01-12,2024-04-25,104.0,10,FORN-0022,Smart Gestão Ltda,3,False,,Concluído,Emergencial,Média
EAP-2025-00045,ARP Engenharia,Licitação,Licitação Eletrônica,Treinamento e Capacitação,Contratação de treinamento e capacitação para DIMAP,DIMAP,239588.31,226921.24,2025-07-06,2025-10-22,108.0,10,FORN-0095,Pro Soluções Ltda,11,False,,Concluído,Normal,Baixa
EAP-2024-00046,ARP Engenharia,Licitação,Licitação Eletrônica,Seguros,Contratação de seguros para CENOP-RECIFE,CENOP-RECIFE,163508.68,152539.94,2024-08-29,2025-01-07,131.0,10,FORN-0028,Smart Digital ME,5,False,,Concluído,Normal,Alta
EAP-2025-00047,ARP Engenharia,Licitação,Licitação Eletrônica,Logística - Transporte,Contratação de logística - transporte para DILOG,DILOG,582007.41,566809.89,2025-08-13,2026-01-17,157.0,10,FORN-0114,Fast Limpeza S.A.,2,False,,Concluído,Normal,Alta
EAP-2024-00048,Contratação de Serviços,Licitação,Licitação Eletrônica,Engenharia - Obras,Contratação de engenharia - obras para CENOP-SP,CENOP-SP,78165.15,58483.37,2024-07-17,2024-12-03,139.0,10,FORN-0295,Prime Digital ME,7,True,Impugnação ao Edital,Concluído,Normal,Média
EAP-2023-00049,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,Segurança Patrimonial,Contratação de segurança patrimonial para DIMAC,DIMAC,244485.28,242650.96,2023-04-27,2023-06-05,39.0,6,FORN-0015,Fast Limpeza Eireli,1,False,,Concluído,Normal,Média
EAP-2023-00050,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,TI - Infraestrutura,Contratação de ti - infraestrutura para DISEC,DISEC,329202.48,285502.61,2023-04-17,2023-05-26,39.0,6,FORN-0103,Omega Engenharia EPP,1,False,,Concluído,Normal,Baixa
EAP-2025-00051,ARP Engenharia,Licitação,Licitação Eletrônica,Engenharia - Manutenção,Contratação de engenharia - manutenção para SUREF-SP,SUREF-SP,113812.05,84401.79,2025-04-13,2025-07-30,108.0,10,FORN-0266,Omega Tecnologia Ltda,7,False,,Concluído,Normal,Média
EAP-2024-00052,ARP Engenharia,Licitação,Licitação Eletrônica,Facilities - Limpeza,Contratação de facilities - limpeza para DIRES,DIRES,58961.11,50788.86,2024-07-26,2024-12-17,144.0,10,FORN-0195,Central Tecnologia Eireli,3,False,,Concluído,Normal,Baixa
EAP-2025-00053,Contratação de Serviços,Licitação,Licitação Eletrônica,Engenharia - Manutenção,Contratação de engenharia - manutenção para SUREF-PE,SUREF-PE,149920.75,108559.17,2025-03-10,2025-07-25,137.0,10,FORN-0235,Leste Telecomunicações S.A.,7,True,Certame Deserto,Concluído,Normal,Média
EAP-2023-00054,Contratação de Serviços,Licitação,Licitação Eletrônica,Consultoria - Gestão,Contratação de consultoria - gestão para DIJUR,DIJUR,692170.04,530822.8,2023-08-28,2023-11-21,85.0,10,FORN-0088,Prime Administração Ltda,8,False,,Concluído,Normal,Média
EAP-2022-00055,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,TI - Infraestrutura,Contratação de ti - infraestrutura para DIJUR,DIJUR,268325.72,257555.09,2022-06-27,2022-07-22,25.0,6,FORN-0196,Sul Administração S.A.,2,False,,Concluído,Urgente,Baixa
EAP-2024-00056,Contratação de Serviços,Licitação,Licitação Eletrônica,Logística - Armazenagem,Contratação de logística - armazenagem para SUREF-CE,SUREF-CE,93835.13,73217.26,2024-05-26,2024-09-05,102.0,10,FORN-0214,Beta Soluções EPP,9,False,,Concluído,Normal,Alta
EAP-2025-00057,Contratação Direta por Limite de Valor,Contratação Direta,Contratação Direta,Treinamento e Capacitação,Contratação de treinamento e capacitação para DIRES,DIRES,106257.11,94866.75,2025-03-20,2025-04-22,33.0,6,FORN-0291,Beta Tecnologia ME,1,False,,Concluído,Normal,Média
EAP-2024-00058,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,Logística - Transporte,Contratação de logística - transporte para DICRE,DICRE,73696.93,64625.59,2024-12-23,2025-02-06,45.0,6,FORN-0198,Master Segurança Eireli,2,False,,Concluído,Normal,Média
EAP-2025-00059,ARP Engenharia,Licitação,Licitação Eletrônica,Engenharia - Manutenção,Contratação de engenharia - manutenção para DITEC,DITEC,18741976.09,17476876.25,2025-11-20,2026-03-18,118.0,10,FORN-0124,Prime Construções Ltda,5,False,,Concluído,Normal,Alta
EAP-2024-00060,Contratação Direta por Limite de Valor,Contratação Direta,Contratação Direta,Facilities - Vigilância,Contratação de facilities - vigilância para DITEC,DITEC,14933.55,13517.87,2024-09-09,2024-10-02,23.0,6,FORN-0004,Express Telecomunicações S.A.,1,False,,Concluído,Normal,Média
EAP-2022-00061,Contratação de Serviços,Licitação,Licitação Eletrônica,TI - Infraestrutura,Contratação de ti - infraestrutura para SUREF-RS,SUREF-RS,638422.19,509874.01,2022-02-19,2022-06-11,112.0,10,FORN-0034,Master Sistemas EPP,4,False,,Concluído,Urgente,Média
EAP-2024-00062,ARP Engenharia,Licitação,Licitação Eletrônica,Segurança Patrimonial,Contratação de segurança patrimonial para CENOP-RJ,CENOP-RJ,779114.85,656192.56,2024-01-29,,,10,,,6,False,,Em Andamento,Normal,Baixa
EAP-2022-00063,ARP Bens,Licitação,Licitação Eletrônica,Facilities - Limpeza,Contratação de facilities - limpeza para SUREF-BA,SUREF-BA,231488.41,195883.12,2022-05-25,2022-08-13,80.0,10,FORN-0202,Pro Limpeza S.A.,8,False,,Concluído,Normal,Baixa
EAP-2025-00064,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,Consultoria - Gestão,Contratação de consultoria - gestão para SUREF-PR,SUREF-PR,236294.22,232950.87,2025-01-15,2025-02-23,39.0,6,FORN-0170,Prime Gestão ME,1,False,,Concluído,Urgente,Média
EAP-2024-00065,Contratação Direta por Limite de Valor,Contratação Direta,Contratação Direta,Segurança Patrimonial,Contratação de segurança patrimonial para DILOG,DILOG,38559.19,32999.96,2024-11-20,2024-12-19,29.0,6,FORN-0007,Fast Transporte Eireli,2,False,,Concluído,Normal,Média
EAP-2022-00066,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,Consultoria - Gestão,Contratação de consultoria - gestão para SUREF-PR,SUREF-PR,58003.89,52450.11,2022-03-25,2022-04-25,31.0,6,FORN-0054,Norte Segurança ME,1,False,,Concluído,Normal,Média
EAP-2022-00067,Contratação Direta por Limite de Valor,Contratação Direta,Contratação Direta,Facilities - Recepção,Contratação de facilities - recepção para DIRES,DIRES,79229.46,71705.76,2022-08-21,2022-09-29,39.0,6,FORN-0108,Omega Manutenção S.A.,2,False,,Concluído,Urgente,Média
EAP-2023-00068,ARP Engenharia,Licitação,Licitação Eletrônica,Engenharia - Obras,Contratação de engenharia - obras para DISEC,DISEC,382638.45,308050.15,2023-12-24,2024-05-08,136.0,10,FORN-0011,Brasil Manutenção ME,5,False,,Concluído,Normal,Média
EAP-2024-00069,ARP Engenharia,Licitação,Licitação Eletrônica,Treinamento e Capacitação,Contratação de treinamento e capacitação para SUREF-SP,SUREF-SP,37305.28,33287.55,2024-10-23,2025-05-01,190.0,10,FORN-0150,Norte Manutenção Ltda,5,True,Inabilitação de Licitante,Concluído,Normal,Média
EAP-2025-00070,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,Facilities - Vigilância,Contratação de facilities - vigilância para SUREF-DF,SUREF-DF,291996.45,283212.34,2025-11-20,2026-01-06,47.0,6,FORN-0004,Express Telecomunicações S.A.,1,False,,Concluído,Urgente,Média
EAP-2024-00071,Contratação de Serviços,Licitação,Licitação Eletrônica,Logística - Transporte,Contratação de logística - transporte para DIMAC,DIMAC,126929.25,90678.78,2024-03-11,2024-06-11,92.0,10,FORN-0013,Prime Infraestrutura Ltda,6,False,,Concluído,Normal,Baixa
EAP-2022-00072,Contratação de Serviços,Licitação,Licitação Eletrônica,Engenharia - Obras,Contratação de engenharia - obras para SUREF-PE,SUREF-PE,270041.84,262983.89,2022-10-31,2023-01-19,80.0,10,FORN-0235,Leste Telecomunicações S.A.,2,False,,Concluído,Normal,Média
EAP-2025-00073,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,Engenharia - Obras,Contratação de engenharia - obras para SUREF-DF,SUREF-DF,1483036.65,1361300.66,2025-01-13,,,6,,,1,False,,Suspenso,Normal,Baixa
EAP-2022-00074,Inexigibilidade,Inexigibilidade,Inexigibilidade,Facilities - Recepção,Contratação de facilities - recepção para DIMAC,DIMAC,709174.38,636089.8,2022-02-15,2022-03-17,30.0,5,FORN-0119,Master Segurança ME,1,False,,Concluído,Normal,Média
EAP-2025-00075,ARP Bens,Licitação,Licitação Eletrônica,TI - Infraestrutura,Contratação de ti - infraestrutura para DISEC,DISEC,692578.89,501567.23,2025-09-04,2025-11-14,71.0,10,FORN-0212,Mega Administração ME,6,False,,Concluído,Normal,Média
EAP-2024-00076,ARP Bens,Licitação,Licitação Eletrônica,Facilities - Limpeza,Contratação de facilities - limpeza para SUREF-MG,SUREF-MG,344739.25,304631.41,2024-06-30,2024-10-03,95.0,10,FORN-0157,Sigma Facilities EPP,5,False,,Concluído,Normal,Baixa
EAP-2024-00077,ARP Bens,Licitação,Licitação Eletrônica,TI - Desenvolvimento,Contratação de ti - desenvolvimento para SUREF-SP,SUREF-SP,524662.61,410544.22,2024-02-01,2024-05-01,90.0,10,FORN-0025,Express Soluções Ltda,5,False,,Concluído,Normal,Baixa
EAP-2025-00078,ARP Engenharia,Licitação,Licitação Eletrônica,Segurança Patrimonial,Contratação de segurança patrimonial para DIFIN,DIFIN,1097268.15,1062575.58,2025-06-20,2025-10-13,115.0,10,FORN-0015,Fast Limpeza Eireli,3,False,,Concluído,Normal,Alta
EAP-2025-00079,ARP Bens,Licitação,Licitação Eletrônica,Consultoria - Gestão,Contratação de consultoria - gestão para CENOP-DF,CENOP-DF,133433.66,96308.05,2025-12-21,,,10,,,7,False,,Em Andamento,Normal,Alta
EAP-2022-00080,Contratação de Serviços,Licitação,Licitação Eletrônica,Engenharia - Manutenção,Contratação de engenharia - manutenção para SUREF-RS,SUREF-RS,3413990.53,2637194.48,2022-09-17,2022-12-20,94.0,10,FORN-0082,Smart Segurança Ltda,5,False,,Concluído,Normal,Baixa
EAP-2024-00081,Contratação de Serviços,Licitação,Licitação Eletrônica,TI - Licenciamento,Contratação de ti - licenciamento para DISEC,DISEC,607530.33,434350.65,2024-07-07,2024-09-26,81.0,10,FORN-0006,Smart Segurança S.A.,5,False,,Concluído,Normal,Média
EAP-2024-00082,ARP Bens,Licitação,Licitação Eletrônica,Consultoria - Jurídica,Contratação de consultoria - jurídica para DITEC,DITEC,422529.19,415820.28,2024-04-08,,,10,,,2,False,,Em Andamento,Urgente,Alta
EAP-2022-00083,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,Engenharia - Manutenção,Contratação de engenharia - manutenção para DIRES,DIRES,2352653.28,2036563.27,2022-01-09,2022-01-31,22.0,6,FORN-0271,Elite Transporte S.A.,1,False,,Concluído,Normal,Média
EAP-2025-00084,Contratação Direta por Limite de Valor,Contratação Direta,Contratação Direta,Logística - Transporte,Contratação de logística - transporte para DIRIS,DIRIS,175539.82,169055.97,2025-03-20,2025-04-19,30.0,6,FORN-0227,Tech Soluções Ltda,2,False,,Concluído,Normal,Baixa
EAP-2022-00085,ARP Engenharia,Licitação,Licitação Eletrônica,Segurança Patrimonial,Contratação de segurança patrimonial para SUREF-SP,SUREF-SP,39845.47,34857.27,2022-03-24,2022-08-12,141.0,10,FORN-0007,Fast Transporte Eireli,3,True,Inabilitação de Licitante,Concluído,Normal,Média
EAP-2023-00086,ARP Engenharia,Licitação,Licitação Eletrônica,Marketing e Comunicação,Contratação de marketing e comunicação para CENOP-DF,CENOP-DF,126324.09,112455.52,2023-03-28,2023-08-02,127.0,10,FORN-0021,Prime Sistemas Ltda,9,False,,Concluído,Normal,Baixa
EAP-2023-00087,ARP Bens,Licitação,Licitação Eletrônica,Segurança Patrimonial,Contratação de segurança patrimonial para SUREF-RJ,SUREF-RJ,377538.71,368688.24,2023-03-31,2023-06-12,73.0,10,FORN-0017,Nacional Digital EPP,3,False,,Concluído,Urgente,Baixa
EAP-2025-00088,Contratação de Serviços,Licitação,Licitação Eletrônica,Engenharia - Manutenção,Contratação de engenharia - manutenção para DIMAC,DIMAC,189108.97,158666.97,2025-01-07,2025-04-01,84.0,10,FORN-0037,Beta Serviços EPP,4,False,,Concluído,Emergencial,Média
EAP-2023-00089,Contratação Direta Exceto Limite de Valor,Contratação Direta,Contratação Direta,Facilities - Vigilância,Contratação de facilities - vigilância para SUREF-SP,SUREF-SP,137384.08,119159.63,2023-10-13,2023-11-09,27.0,6,FORN-0004,Express Telecomunicações S.A.,1,False,,Concluído,Normal,Média
EAP-2024-00090,ARP Bens,Licitação,Licitação Eletrônica,Consultoria - Gestão,Contratação de consultoria - gestão para SUREF-PE,SUREF-PE,122936.51,110701.39,2024-05-25,2024-08-01,68.0,10,FORN-0122,Leste Telecomunicações Eireli,7,False,,Concluído,Normal,Média
EAP-2024-00091,Contratação de Serviços,Licitação,Licitação Eletrônica,Consultoria - Jurídica,Contratação de consultoria - jurídica para SUREF-MG,SUREF-MG,381682.8,335891.11,2024-06-28,2024-10-10,104.0,10,FORN-0003,Sul Serviços ME,5,False,,Concluído,Normal,Média
EAP-2024-00092,Contratação de Serviços,Licitação,Licitação Eletrônica,TI - Infraestrutura,Contratação de ti - infraestrutura para DIFIN,DIFIN,141058.54,,2024-05-18,,,10,,,5,False,,Cancelado,Normal,Média
EAP-2024-00093,Contratação de Serviços,Licitação,Licitação Eletrônica,TI - Desenvolvimento,Contratação de ti - desenvolvimento para CENOP-RECIFE,CENOP-RECIFE,283466.83,204747.9,2024-12-11,2025-04-23,133.0,10,FORN-0006,Smart Segurança S.A.,5,True,Pedido de Esclarecimento,Concluído,Normal,Alta
EAP-2022-00094,ARP Bens,Licitação,Licitação Eletrônica,Logística - Transporte,Contratação de logística - transporte para DICRE,DICRE,982816.57,899005.02,2022-12-25,2023-02-21,58.0,10,FORN-0071,Smart Limpeza Ltda,5,False,,Concluído,Normal,Alta
EAP-2025-00095,ARP Bens,Licitação,Licitação Eletrônica,TI - Infraestrutura,Contratação de ti - infraestrutura para DIRIS,DIRIS,775599.9,682733.82,2025-02-08,2025-04-11,62.0,10,FORN-0155,Sigma Limpeza Ltda,4,False,,Concluído,Urgente,Média
EAP-2024-00096,Contratação de Serviços,Licitação,Licitação Eletrônica,TI - Infraestrutura,Contratação de ti - infraestrutura para SUREF-MG,SUREF-MG,1667916.8,1426780.27,2024-08-07,2024-11-19,104.0,10,FORN-0227,Tech Soluções Ltda,3,True,Impugnação ao Edital,Concluído,Urgente,Média
